% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
0.000000,0.000000,0.000000,0.000000
0.020061,-0.000190,-0.001702,0.000000
0.040122,-0.000740,-0.006643,0.000000
0.060184,-0.001624,-0.014579,0.000000
0.080245,-0.002813,-0.025264,0.000000
0.100306,-0.004282,-0.038452,0.000000
0.120367,-0.006002,-0.053898,0.000000
0.140429,-0.007946,-0.071356,0.000000
0.160490,-0.010087,-0.090581,0.000000
0.180551,-0.012398,-0.111327,0.000000
0.200612,-0.014850,-0.133349,0.000000
0.220673,-0.017417,-0.156401,0.000000
0.240735,-0.020072,-0.180238,0.000000
0.260796,-0.022786,-0.204614,0.000000
0.280857,-0.025534,-0.229283,0.000000
0.300918,-0.028286,-0.254001,0.000000
0.320980,-0.031017,-0.278521,0.000000
0.341041,-0.033698,-0.302598,0.000000
0.361102,-0.036303,-0.325987,0.000000
0.381163,-0.038809,-0.348493,0.000000
0.401224,-0.041219,-0.370131,0.000000
0.421286,-0.043539,-0.390967,0.000000
0.441347,-0.045778,-0.411067,0.000000
0.461408,-0.047941,-0.430496,0.000000
0.481469,-0.050037,-0.449319,0.000000
0.501531,-0.052074,-0.467604,0.000000
0.521592,-0.054057,-0.485415,0.000000
0.541653,-0.055995,-0.502819,0.000000
0.561714,-0.057895,-0.519881,0.000000
0.581775,-0.059765,-0.536667,0.000000
0.601837,-0.061611,-0.553243,0.000000
0.621898,-0.063441,-0.569675,0.000000
0.641959,-0.065262,-0.586028,0.000000
0.662020,-0.067082,-0.602369,0.000000
0.682081,-0.068907,-0.618763,0.000000
0.702143,-0.070746,-0.635276,0.000000
0.722204,-0.072606,-0.651973,0.000000
0.742265,-0.074491,-0.668907,0.000000
0.762326,-0.076403,-0.686074,0.000000
0.782388,-0.078339,-0.703457,0.000000
0.802449,-0.080297,-0.721036,0.000000
0.822510,-0.082274,-0.738796,0.000000
0.842571,-0.084270,-0.756717,0.000000
0.862632,-0.086282,-0.774783,0.000000
0.882694,-0.088308,-0.792975,0.000000
0.902755,-0.090346,-0.811276,0.000000
0.922816,-0.092394,-0.829668,0.000000
0.942877,-0.094451,-0.848134,0.000000
0.962939,-0.096513,-0.866655,0.000000
0.983000,-0.098580,-0.885214,0.000000
1.003061,-0.100649,-0.903794,0.000000
1.023122,-0.102718,-0.922376,0.000000
1.043183,-0.104786,-0.940943,0.000000
1.063245,-0.106850,-0.959476,0.000000
1.083306,-0.108908,-0.977960,0.000000
1.103367,-0.110960,-0.996378,0.000000
1.123428,-0.113004,-1.014734,0.000000
1.143490,-0.115041,-1.033031,0.000000
1.163551,-0.117073,-1.051275,0.000000
1.183612,-0.119099,-1.069471,0.000000
1.203673,-0.121121,-1.087624,0.000000
1.223734,-0.123138,-1.105739,0.000000
1.243796,-0.125152,-1.123821,0.000000
1.263857,-0.127163,-1.141876,0.000000
1.283918,-0.129171,-1.159907,0.000000
1.303979,-0.131177,-1.177921,0.000000
1.324041,-0.133181,-1.195922,0.000000
1.344102,-0.135185,-1.213915,0.000000
1.364163,-0.137189,-1.231906,0.000000
1.384224,-0.139192,-1.249900,0.000000
1.404285,-0.141197,-1.267901,0.000000
1.424347,-0.143203,-1.285915,0.000000
1.444408,-0.145211,-1.303946,0.000000
1.464469,-0.147222,-1.321999,0.000000
1.484530,-0.149234,-1.340073,0.000000
1.504592,-0.151249,-1.358163,0.000000
1.524653,-0.153265,-1.376270,0.000000
1.544714,-0.155283,-1.394388,0.000000
1.564775,-0.157302,-1.412517,0.000000
1.584836,-0.159322,-1.430654,0.000000
1.604898,-0.161342,-1.448795,0.000000
1.624959,-0.163363,-1.466940,0.000000
1.645020,-0.165383,-1.485084,0.000000
1.665081,-0.167403,-1.503225,0.000000
1.685142,-0.169423,-1.521362,0.000000
1.705204,-0.171442,-1.539491,0.000000
1.725265,-0.173460,-1.557610,0.000000
1.745326,-0.175476,-1.575716,0.000000
1.765387,-0.177491,-1.593807,0.000000
1.785449,-0.179504,-1.611880,0.000000
1.805510,-0.181514,-1.629933,0.000000
1.825571,-0.183522,-1.647964,0.000000
1.845632,-0.185528,-1.665978,0.000000
1.865693,-0.187533,-1.683979,0.000000
1.885755,-0.189537,-1.701973,0.000000
1.905816,-0.191540,-1.719964,0.000000
1.925877,-0.193544,-1.737957,0.000000
1.945938,-0.195549,-1.755958,0.000000
1.966000,-0.197555,-1.773972,0.000000
1.986061,-0.199563,-1.792004,0.000000
2.006122,-0.201573,-1.810058,0.000000
2.026183,-0.203587,-1.828140,0.000000
2.046244,-0.205604,-1.846255,0.000000
2.066306,-0.207626,-1.864408,0.000000
2.086367,-0.209652,-1.882604,0.000000
2.106428,-0.211684,-1.900848,0.000000
2.126489,-0.213721,-1.919145,0.000000
2.146551,-0.215766,-1.937501,0.000000
2.166612,-0.217817,-1.955919,0.000000
2.186673,-0.219875,-1.974403,0.000000
2.206734,-0.221939,-1.992937,0.000000
2.226795,-0.224007,-2.011503,0.000000
2.246857,-0.226076,-2.030085,0.000000
2.266918,-0.228145,-2.048665,0.000000
2.286979,-0.230212,-2.067224,0.000000
2.307040,-0.232275,-2.085745,0.000000
2.327102,-0.234331,-2.104211,0.000000
2.347163,-0.236379,-2.122603,0.000000
2.367224,-0.238417,-2.140904,0.000000
2.387285,-0.240443,-2.159096,0.000000
2.407346,-0.242455,-2.177162,0.000000
2.427408,-0.244451,-2.195083,0.000000
2.447469,-0.246428,-2.212843,0.000000
2.467530,-0.248386,-2.230422,0.000000
2.487591,-0.250322,-2.247805,0.000000
2.507653,-0.252234,-2.264972,0.000000
2.527714,-0.254120,-2.281906,0.000000
2.547775,-0.255979,-2.298604,0.000000
2.567836,-0.257818,-2.315116,0.000000
2.587897,-0.259644,-2.331510,0.000000
2.607959,-0.261463,-2.347851,0.000000
2.628020,-0.263285,-2.364204,0.000000
2.648081,-0.265114,-2.380636,0.000000
2.668142,-0.266960,-2.397212,0.000000
2.688203,-0.268830,-2.413998,0.000000
2.708265,-0.270730,-2.431060,0.000000
2.728326,-0.272668,-2.448464,0.000000
2.748387,-0.274651,-2.466275,0.000000
2.768448,-0.276688,-2.484560,0.000000
2.788510,-0.278784,-2.503384,0.000000
2.808571,-0.280948,-2.522812,0.000000
2.828632,-0.283186,-2.542912,0.000000
2.848693,-0.285506,-2.563748,0.000000
2.868754,-0.287916,-2.585386,0.000000
2.888816,-0.290422,-2.607893,0.000000
2.908877,-0.293027,-2.631281,0.000000
2.928938,-0.295708,-2.655358,0.000000
2.948999,-0.298439,-2.679878,0.000000
2.969061,-0.301192,-2.704596,0.000000
2.989122,-0.303939,-2.729265,0.000000
3.009183,-0.306653,-2.753641,0.000000
3.029244,-0.309308,-2.777478,0.000000
3.049305,-0.311875,-2.800530,0.000000
3.069367,-0.314327,-2.822552,0.000000
3.089428,-0.316638,-2.843298,0.000000
3.109489,-0.318779,-2.862523,0.000000
3.129550,-0.320723,-2.879981,0.000000
3.149612,-0.322443,-2.895427,0.000000
3.169673,-0.323912,-2.908615,0.000000
3.189734,-0.325102,-2.919300,0.000000
3.209795,-0.325985,-2.927236,0.000000
3.229856,-0.326536,-2.932177,0.000000
3.249918,-0.326725,-2.933879,0.000000
