% DOF: 4
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3, joint_4
0.000000,0.000000,0.000000,0.000000,0.000000
0.020045,0.000273,-0.001690,-0.001665,0.000000
0.040090,0.001060,-0.006561,-0.006464,0.000000
0.060135,0.002313,-0.014315,-0.014103,0.000000
0.080180,0.003983,-0.024653,-0.024287,0.000000
0.100225,0.006023,-0.037276,-0.036723,0.000000
0.120270,0.008383,-0.051887,-0.051116,0.000000
0.140314,0.011016,-0.068185,-0.067173,0.000000
0.160359,0.013874,-0.085873,-0.084599,0.000000
0.180404,0.016908,-0.104653,-0.103099,0.000000
0.200449,0.020070,-0.124225,-0.122381,0.000000
0.220494,0.023312,-0.144291,-0.142149,0.000000
0.240539,0.026586,-0.164552,-0.162110,0.000000
0.260584,0.029843,-0.184711,-0.181969,0.000000
0.280629,0.033035,-0.204467,-0.201433,0.000000
0.300674,0.036114,-0.223525,-0.220207,0.000000
0.320719,0.039050,-0.241697,-0.238109,0.000000
0.340764,0.041851,-0.259034,-0.255189,0.000000
0.360809,0.044530,-0.275617,-0.271526,0.000000
0.380854,0.047100,-0.291525,-0.287198,0.000000
0.400899,0.049575,-0.306839,-0.302284,0.000000
0.420943,0.051966,-0.321638,-0.316864,0.000000
0.440988,0.054286,-0.336003,-0.331015,0.000000
0.461033,0.056550,-0.350013,-0.344817,0.000000
0.481078,0.058769,-0.363748,-0.358349,0.000000
0.501123,0.060957,-0.377289,-0.371689,0.000000
0.521168,0.063126,-0.390716,-0.384917,0.000000
0.541213,0.065290,-0.404109,-0.398111,0.000000
0.561258,0.067461,-0.417547,-0.411349,0.000000
0.581303,0.069653,-0.431111,-0.424712,0.000000
0.601348,0.071877,-0.444879,-0.438275,0.000000
0.621393,0.074140,-0.458884,-0.452073,0.000000
0.641438,0.076438,-0.473109,-0.466087,0.000000
0.661483,0.078768,-0.487531,-0.480295,0.000000
0.681527,0.081127,-0.502130,-0.494677,0.000000
0.701572,0.083510,-0.516882,-0.509210,0.000000
0.721617,0.085915,-0.531768,-0.523875,0.000000
0.741662,0.088338,-0.546765,-0.538649,0.000000
0.761707,0.090776,-0.561851,-0.553512,0.000000
0.781752,0.093224,-0.577006,-0.568442,0.000000
0.801797,0.095680,-0.592208,-0.583418,0.000000
0.821842,0.098140,-0.607434,-0.598418,0.000000
0.841887,0.100601,-0.622665,-0.613422,0.000000
0.861932,0.103059,-0.637877,-0.628409,0.000000
0.881977,0.105510,-0.653050,-0.643356,0.000000
0.902022,0.107952,-0.668163,-0.658245,0.000000
0.922067,0.110383,-0.683212,-0.673071,0.000000
0.942111,0.112805,-0.698203,-0.687840,0.000000
0.962156,0.115219,-0.713142,-0.702557,0.000000
0.982201,0.117625,-0.728036,-0.717230,0.000000
1.002246,0.120025,-0.742890,-0.731864,0.000000
1.022291,0.122420,-0.757711,-0.746465,0.000000
1.042336,0.124810,-0.772505,-0.761039,0.000000
1.062381,0.127197,-0.787278,-0.775592,0.000000
1.082426,0.129581,-0.802035,-0.790131,0.000000
1.102471,0.131964,-0.816784,-0.804661,0.000000
1.122516,0.134347,-0.831531,-0.819189,0.000000
1.142561,0.136730,-0.846281,-0.833720,0.000000
1.162606,0.139114,-0.861041,-0.848261,0.000000
1.182651,0.141502,-0.875817,-0.862817,0.000000
1.202696,0.143892,-0.890613,-0.877394,0.000000
1.222740,0.146286,-0.905430,-0.891991,0.000000
1.242785,0.148683,-0.920264,-0.906604,0.000000
1.262830,0.151082,-0.935111,-0.921231,0.000000
1.282875,0.153482,-0.949969,-0.935869,0.000000
1.302920,0.155884,-0.964835,-0.950514,0.000000
1.322965,0.158287,-0.979706,-0.965164,0.000000
1.343010,0.160689,-0.994578,-0.979816,0.000000
1.363055,0.163092,-1.009449,-0.994466,0.000000
1.383100,0.165494,-1.024315,-1.009111,0.000000
1.403145,0.167894,-1.039173,-1.023749,0.000000
