% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
0.000000,0.000000,0.000000,0.000000
0.020133,0.000832,0.001664,-0.000555
0.040266,0.003144,0.006289,-0.002096
0.060398,0.006663,0.013327,-0.004442
0.080531,0.011115,0.022229,-0.007410
0.100664,0.016223,0.032447,-0.010816
0.120797,0.021715,0.043430,-0.014477
0.140930,0.027316,0.054632,-0.018211
0.161062,0.032752,0.065503,-0.021834
0.181195,0.037788,0.075576,-0.025192
0.201328,0.042419,0.084838,-0.028279
0.221461,0.046719,0.093438,-0.031146
0.241594,0.050761,0.101523,-0.033841
0.261726,0.054619,0.109238,-0.036413
0.281859,0.058366,0.116732,-0.038911
0.301992,0.062076,0.124152,-0.041384
0.322125,0.065822,0.131644,-0.043881
0.342257,0.069670,0.139341,-0.046447
0.362390,0.073630,0.147259,-0.049086
0.382523,0.077680,0.155360,-0.051787
0.402656,0.081801,0.163602,-0.054534
0.422789,0.085974,0.171948,-0.057316
0.442921,0.090178,0.180357,-0.060119
0.463054,0.094394,0.188789,-0.062930
0.483187,0.098603,0.197205,-0.065735
0.503320,0.102784,0.205568,-0.068523
0.523453,0.106935,0.213870,-0.071290
0.543585,0.111061,0.222122,-0.074041
0.563718,0.115168,0.230336,-0.076779
0.583851,0.119261,0.238522,-0.079507
0.603984,0.123346,0.246692,-0.082231
0.624117,0.127429,0.254858,-0.084953
0.644249,0.131515,0.263030,-0.087677
0.664382,0.135610,0.271219,-0.090406
0.684515,0.139714,0.279428,-0.093143
0.704648,0.143826,0.287651,-0.095884
0.724781,0.147941,0.295883,-0.098628
0.744913,0.152059,0.304117,-0.101372
0.765046,0.156174,0.312349,-0.104116
0.785179,0.160286,0.320572,-0.106857
0.805312,0.164390,0.328781,-0.109594
0.825444,0.168485,0.336970,-0.112323
0.845577,0.172571,0.345142,-0.115047
0.865710,0.176654,0.353308,-0.117769
0.885843,0.180739,0.361478,-0.120493
0.905976,0.184832,0.369664,-0.123221
0.926108,0.188939,0.377878,-0.125959
0.946241,0.193065,0.386130,-0.128710
0.966374,0.197216,0.394432,-0.131477
0.986507,0.201397,0.402795,-0.134265
1.006640,0.205606,0.411211,-0.137070
1.026772,0.209822,0.419643,-0.139881
1.046905,0.214026,0.428052,-0.142684
1.067038,0.218199,0.436398,-0.145466
1.087171,0.222320,0.444640,-0.148213
1.107304,0.226370,0.452741,-0.150914
1.127436,0.230330,0.460659,-0.153553
1.147569,0.234178,0.468356,-0.156119
1.167702,0.237924,0.475848,-0.158616
1.187835,0.241634,0.483268,-0.161089
1.207968,0.245381,0.490762,-0.163587
1.228100,0.249239,0.498477,-0.166159
1.248233,0.253281,0.506562,-0.168854
1.268366,0.257581,0.515162,-0.171721
1.288499,0.262212,0.524424,-0.174808
1.308632,0.267248,0.534497,-0.178166
1.328764,0.272684,0.545368,-0.181789
1.348897,0.278285,0.556570,-0.185523
1.369030,0.283777,0.567553,-0.189184
1.389163,0.288885,0.577771,-0.192590
1.409295,0.293337,0.586673,-0.195558
1.429428,0.296856,0.593711,-0.197904
1.449561,0.299168,0.598336,-0.199445
1.469694,0.300000,0.600000,-0.200000
1.969694,0.300000,0.600000,-0.200000
1.990071,0.298336,0.598336,-0.198891
2.010448,0.293881,0.593881,-0.195921
2.030825,0.287439,0.587439,-0.191626
2.051202,0.279815,0.579815,-0.186543
2.071579,0.271813,0.571813,-0.181209
2.091956,0.264233,0.564233,-0.176155
2.112333,0.257494,0.557494,-0.171662
2.132710,0.251430,0.551430,-0.167620
2.153087,0.245828,0.545828,-0.163885
2.173465,0.240470,0.540470,-0.160313
2.193842,0.235141,0.535141,-0.156760
2.214219,0.229638,0.529638,-0.153092
2.234596,0.223918,0.523918,-0.149279
