% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
0.000000,0.000000,0.000000,0.000000
0.020203,0.001055,0.001687,-0.000844
0.040406,0.004018,0.006429,-0.003215
0.060609,0.008591,0.013746,-0.006873
0.080812,0.014473,0.023156,-0.011578
0.101015,0.021363,0.034181,-0.017090
0.121218,0.028962,0.046339,-0.023170
0.141421,0.036969,0.059151,-0.029575
0.161624,0.045085,0.072136,-0.036068
0.181827,0.053009,0.084814,-0.042407
0.202031,0.060459,0.096735,-0.048368
0.222234,0.067374,0.107798,-0.053899
0.242437,0.073831,0.118129,-0.059064
0.262640,0.079910,0.127856,-0.063928
0.282843,0.085692,0.137107,-0.068553
0.303046,0.091257,0.146012,-0.073006
0.323249,0.096687,0.154699,-0.077349
0.343452,0.102060,0.163296,-0.081648
0.363655,0.107459,0.171934,-0.085967
0.383858,0.112962,0.180739,-0.090369
0.404061,0.118611,0.189778,-0.094889
0.424264,0.124391,0.199025,-0.099513
0.444467,0.130279,0.208446,-0.104223
0.464670,0.136253,0.218005,-0.109002
0.484873,0.142292,0.227668,-0.113834
0.505076,0.148375,0.237400,-0.118700
0.525279,0.154480,0.247167,-0.123584
0.545482,0.160584,0.256934,-0.128467
0.565685,0.166667,0.266667,-0.133333
0.585888,0.172711,0.276337,-0.138169
0.606092,0.178718,0.285948,-0.142974
0.626295,0.184694,0.295510,-0.147755
0.646498,0.190645,0.305032,-0.152516
0.666701,0.196578,0.314524,-0.157262
0.686904,0.202498,0.323997,-0.161998
0.707107,0.208412,0.333459,-0.166730
0.727310,0.214326,0.342922,-0.171461
0.747513,0.220246,0.352394,-0.176197
0.767716,0.226179,0.361886,-0.180943
0.787919,0.232123,0.371397,-0.185698
0.808122,0.238077,0.380923,-0.190462
0.828325,0.244037,0.390459,-0.195230
0.848528,0.250000,0.400000,-0.200000
0.868731,0.255963,0.409541,-0.204770
0.888934,0.261923,0.419077,-0.209538
0.909137,0.267877,0.428603,-0.214302
0.929340,0.273821,0.438114,-0.219057
0.949543,0.279754,0.447606,-0.223803
0.969746,0.285674,0.457078,-0.228539
0.989949,0.291588,0.466541,-0.233270
1.010153,0.297502,0.476003,-0.238002
1.030356,0.303422,0.485476,-0.242738
1.050559,0.309355,0.494968,-0.247484
1.070762,0.315306,0.504490,-0.252245
1.090965,0.321282,0.514052,-0.257026
1.111168,0.327289,0.523663,-0.261831
1.131371,0.333333,0.533333,-0.266667
1.151574,0.339416,0.543066,-0.271533
1.171777,0.345520,0.552833,-0.276416
1.191980,0.351625,0.562600,-0.281300
1.212183,0.357708,0.572332,-0.286166
1.232386,0.363747,0.581995,-0.290998
1.252589,0.369721,0.591554,-0.295777
1.272792,0.375609,0.600975,-0.300487
1.292995,0.381389,0.610222,-0.305111
1.313198,0.387038,0.619261,-0.309631
1.333401,0.392541,0.628066,-0.314033
1.353604,0.397940,0.636704,-0.318352
1.373807,0.403313,0.645301,-0.322651
1.394011,0.408743,0.653988,-0.326994
1.414214,0.414308,0.662893,-0.331447
1.434417,0.420090,0.672144,-0.336072
1.454620,0.426169,0.681871,-0.340936
1.474823,0.432626,0.692202,-0.346101
1.495026,0.439541,0.703265,-0.351632
1.515229,0.446991,0.715186,-0.357593
1.535432,0.454915,0.727864,-0.363932
1.555635,0.463031,0.740849,-0.370425
1.575838,0.471038,0.753661,-0.376830
1.596041,0.478637,0.765819,-0.382910
1.616244,0.485527,0.776844,-0.388422
1.636447,0.491409,0.786254,-0.393127
1.656650,0.495982,0.793571,-0.396785
1.676853,0.498945,0.798313,-0.399156
1.697056,0.500000,0.800000,-0.400000
