% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
0.000000,0.000000,0.000000,0.000000
0.020033,-0.001681,0.000560,-0.000336
0.040065,-0.006495,0.002165,-0.001299
0.060098,-0.014101,0.004700,-0.002820
0.080131,-0.024157,0.008052,-0.004831
0.100163,-0.036320,0.012107,-0.007264
0.120196,-0.050250,0.016750,-0.010050
0.140229,-0.065603,0.021868,-0.013121
0.160261,-0.082039,0.027346,-0.016408
0.180294,-0.099215,0.033072,-0.019843
0.200327,-0.116789,0.038930,-0.023358
0.220359,-0.134420,0.044807,-0.026884
0.240392,-0.151765,0.050588,-0.030353
0.260425,-0.168483,0.056161,-0.033697
0.280457,-0.184330,0.061443,-0.036866
0.300490,-0.199348,0.066449,-0.039870
0.320523,-0.213628,0.071209,-0.042726
0.340555,-0.227262,0.075754,-0.045452
0.360588,-0.240341,0.080114,-0.048068
0.380621,-0.252957,0.084319,-0.050591
0.400653,-0.265202,0.088401,-0.053040
0.420686,-0.277167,0.092389,-0.055433
0.440719,-0.288945,0.096315,-0.057789
0.460751,-0.300626,0.100209,-0.060125
0.480784,-0.312302,0.104101,-0.062460
0.500817,-0.324065,0.108022,-0.064813
0.520849,-0.336007,0.112002,-0.067201
0.540882,-0.348184,0.116061,-0.069637
0.560915,-0.360581,0.120194,-0.072116
0.580948,-0.373172,0.124391,-0.074634
0.600980,-0.385934,0.128645,-0.077187
0.621013,-0.398842,0.132947,-0.079768
0.641046,-0.411871,0.137290,-0.082374
0.661078,-0.424996,0.141665,-0.084999
0.681111,-0.438192,0.146064,-0.087638
0.701144,-0.451436,0.150479,-0.090287
0.721176,-0.464702,0.154901,-0.092940
0.741209,-0.477966,0.159322,-0.095593
0.761242,-0.491203,0.163734,-0.098241
0.781274,-0.504388,0.168129,-0.100878
0.801307,-0.517509,0.172503,-0.103502
0.821340,-0.530571,0.176857,-0.106114
0.841372,-0.543582,0.181194,-0.108716
0.861405,-0.556548,0.185516,-0.111310
0.881438,-0.569476,0.189825,-0.113895
0.901470,-0.582374,0.194125,-0.116475
0.921503,-0.595248,0.198416,-0.119050
0.941536,-0.608106,0.202702,-0.121621
0.961568,-0.620954,0.206985,-0.124191
0.981601,-0.633800,0.211267,-0.126760
1.001634,-0.646651,0.215550,-0.129330
1.021666,-0.659513,0.219838,-0.131903
1.041699,-0.672394,0.224131,-0.134479
1.061732,-0.685296,0.228432,-0.137059
1.081764,-0.698216,0.232739,-0.139643
1.101797,-0.711150,0.237050,-0.142230
1.121830,-0.724094,0.241365,-0.144819
